network_id,node_from,node_to,link_type,link_direction,link_value,link_units,taxonomy_name_from,taxonomy_rank_from,kingdom_from,taxonomy_name_to,taxonomy_rank_to,kingdom_to
mangal_1389,mangal_node_3641,mangal_node_3642,mutualism,undirected,1,NA,Convolvulus arvensis,species,Plantae,Paragus haemorrhous,species,Animalia
mangal_1389,mangal_node_3675,mangal_node_3642,mutualism,undirected,1,NA,Heteromeles arbutifolia,species,Plantae,Paragus haemorrhous,species,Animalia
mangal_1389,mangal_node_3651,mangal_node_3652,mutualism,undirected,5,NA,Helminthotheca echioides,species,Plantae,Halictus ligatus,species,Animalia
mangal_1389,mangal_node_3651,mangal_node_3643,mutualism,undirected,4,NA,Helminthotheca echioides,species,Plantae,Halictus tripartitus,species,Animalia
mangal_1389,mangal_node_3647,mangal_node_3736,mutualism,undirected,1,NA,Centaurea solstitialis,species,Plantae,Ceratina dallatorreana,species,Animalia
mangal_1389,mangal_node_3695,mangal_node_3723,mutualism,undirected,3,NA,Sambucus mexicana,NA,Plantae,Allograpta obliqua,species,Animalia
mangal_1389,mangal_node_3647,mangal_node_3717,mutualism,undirected,1,NA,Centaurea solstitialis,species,Plantae,Megachile apicalis,species,Animalia
mangal_1389,mangal_node_3641,mangal_node_3646,mutualism,undirected,1,NA,Convolvulus arvensis,species,Plantae,Cheilosia aenea,species,Animalia
mangal_1389,mangal_node_3695,mangal_node_3638,mutualism,undirected,2,NA,Sambucus mexicana,NA,Plantae,Eupeodes fumipennis,species,Animalia
mangal_1389,mangal_node_3640,mangal_node_3648,mutualism,undirected,2,NA,Lactuca serriola,species,Plantae,Lasioglossum incompletum,species,Animalia
mangal_1389,mangal_node_3640,mangal_node_3642,mutualism,undirected,2,NA,Lactuca serriola,species,Plantae,Paragus haemorrhous,species,Animalia
mangal_1389,mangal_node_3636,mangal_node_3652,mutualism,undirected,2,NA,Brassica,genus,Plantae,Halictus ligatus,species,Animalia
mangal_1389,mangal_node_3640,mangal_node_3652,mutualism,undirected,4,NA,Lactuca serriola,species,Plantae,Halictus ligatus,species,Animalia
mangal_1389,mangal_node_3667,mangal_node_3643,mutualism,undirected,1,NA,Eriogonum fasciculatum,species,Plantae,Halictus tripartitus,species,Animalia
mangal_1389,mangal_node_3647,mangal_node_3710,mutualism,undirected,1,NA,Centaurea solstitialis,species,Plantae,Melissodes lupina,species,Animalia
mangal_1389,mangal_node_3647,mangal_node_3733,mutualism,undirected,1,NA,Centaurea solstitialis,species,Plantae,Diadasia enavata,species,Animalia
mangal_1389,mangal_node_3675,mangal_node_3717,mutualism,undirected,1,NA,Heteromeles arbutifolia,species,Plantae,Megachile apicalis,species,Animalia
mangal_1389,mangal_node_3667,mangal_node_3646,mutualism,undirected,1,NA,Eriogonum fasciculatum,species,Plantae,Cheilosia aenea,species,Animalia
mangal_1389,mangal_node_3647,mangal_node_3648,mutualism,undirected,8,NA,Centaurea solstitialis,species,Plantae,Lasioglossum incompletum,species,Animalia
mangal_1389,mangal_node_3738,mangal_node_3648,mutualism,undirected,1,NA,Atriplex lentiformis,species,Plantae,Lasioglossum incompletum,species,Animalia
mangal_1389,mangal_node_3695,mangal_node_3642,mutualism,undirected,1,NA,Sambucus mexicana,NA,Plantae,Paragus haemorrhous,species,Animalia
mangal_1389,mangal_node_3647,mangal_node_3652,mutualism,undirected,13,NA,Centaurea solstitialis,species,Plantae,Halictus ligatus,species,Animalia
mangal_1389,mangal_node_3641,mangal_node_3643,mutualism,undirected,6,NA,Convolvulus arvensis,species,Plantae,Halictus tripartitus,species,Animalia
mangal_1389,mangal_node_3667,mangal_node_3649,mutualism,undirected,1,NA,Eriogonum fasciculatum,species,Plantae,Toxomerus marginatus,species,Animalia
mangal_1389,mangal_node_3641,mangal_node_3656,mutualism,undirected,1,NA,Convolvulus arvensis,species,Plantae,Sphaerophoria sulphuripes,species,Animalia
mangal_1389,mangal_node_3737,mangal_node_3722,mutualism,undirected,1,NA,Baccharis salicifolia,species,Plantae,Platycheirus stegnus,species,Animalia
mangal_1389,mangal_node_3641,mangal_node_3691,mutualism,undirected,3,NA,Convolvulus arvensis,species,Plantae,Allograpta exotica,species,Animalia
mangal_1389,mangal_node_3641,mangal_node_3648,mutualism,undirected,22,NA,Convolvulus arvensis,species,Plantae,Lasioglossum incompletum,species,Animalia
mangal_1389,mangal_node_3667,mangal_node_3648,mutualism,undirected,4,NA,Eriogonum fasciculatum,species,Plantae,Lasioglossum incompletum,species,Animalia
mangal_1389,mangal_node_3667,mangal_node_3642,mutualism,undirected,1,NA,Eriogonum fasciculatum,species,Plantae,Paragus haemorrhous,species,Animalia
mangal_1389,mangal_node_3641,mangal_node_3652,mutualism,undirected,1,NA,Convolvulus arvensis,species,Plantae,Halictus ligatus,species,Animalia
mangal_1389,mangal_node_3647,mangal_node_1609,mutualism,undirected,1,NA,Centaurea solstitialis,species,Plantae,Melissodes agilis,species,Animalia
mangal_1389,mangal_node_3675,mangal_node_2186,mutualism,undirected,2,NA,Heteromeles arbutifolia,species,Plantae,Syritta pipiens,species,Animalia
mangal_1389,mangal_node_3651,mangal_node_3710,mutualism,undirected,2,NA,Helminthotheca echioides,species,Plantae,Melissodes lupina,species,Animalia
mangal_1389,mangal_node_3641,mangal_node_3688,mutualism,undirected,1,NA,Convolvulus arvensis,species,Plantae,Lasioglossum megastictum,species,Animalia
mangal_1389,mangal_node_3641,mangal_node_3728,mutualism,undirected,1,NA,Convolvulus arvensis,species,Plantae,Ceratina nanula,species,Animalia
mangal_1389,mangal_node_3737,mangal_node_3666,mutualism,undirected,1,NA,Baccharis salicifolia,species,Plantae,Andrena candida,species,Animalia
mangal_1407,mangal_node_3636,mangal_node_3648,mutualism,undirected,1,NA,Brassica,genus,Plantae,Lasioglossum incompletum,species,Animalia
mangal_1407,mangal_node_3641,mangal_node_3652,mutualism,undirected,1,NA,Convolvulus arvensis,species,Plantae,Halictus ligatus,species,Animalia
mangal_1407,mangal_node_3695,mangal_node_3638,mutualism,undirected,3,NA,Sambucus mexicana,NA,Plantae,Eupeodes fumipennis,species,Animalia
mangal_1407,mangal_node_3641,mangal_node_3648,mutualism,undirected,1,NA,Convolvulus arvensis,species,Plantae,Lasioglossum incompletum,species,Animalia
mangal_1407,mangal_node_3695,mangal_node_3722,mutualism,undirected,1,NA,Sambucus mexicana,NA,Plantae,Platycheirus stegnus,species,Animalia
mangal_1407,mangal_node_3641,mangal_node_3723,mutualism,undirected,1,NA,Convolvulus arvensis,species,Plantae,Allograpta obliqua,species,Animalia
mangal_1407,mangal_node_3641,mangal_node_3646,mutualism,undirected,2,NA,Convolvulus arvensis,species,Plantae,Cheilosia aenea,species,Animalia
mangal_1407,mangal_node_3641,mangal_node_3649,mutualism,undirected,2,NA,Convolvulus arvensis,species,Plantae,Toxomerus marginatus,species,Animalia
mangal_1321,mangal_node_3641,mangal_node_3648,mutualism,undirected,3.5,NA,Convolvulus arvensis,species,Plantae,Lasioglossum incompletum,species,Animalia
